Size= 32
1
0.249178
3704811, 120829946, 60232127
2
0.247892
3704813, 120827917, 60232127
3
0.244452
3704802, 120827910, 60232127
4
0.252983
3704692, 120839118, 60234180
5
0.261578
3704807, 120860088, 60238286
Size= 128
1
14.801458
3849844, 170451102, 74713727
2
14.698615
3839875, 170450589, 74713727
3
15.044621
3974350, 170451196, 74713727
4
14.731390
3841396, 170630458, 74746500
5
14.847801
3843279, 170989410, 74812046
Size= 1024
1
9357.088499
1415464904, 25895906385, 7578292607
2
7444.947454
71635936, 25895596389, 7578292607
3
15651.643095
2702957210, 25896170016, 7578292607
4
7483.825809
72206300, 25907180877, 7580389764
5
7521.481046
73341776, 25930218637, 7584584078
Size= 2048
1
76178.888892
12393476165, 206306574712, 60197935487
2
59641.340535
549994865, 206304251748, 60197935487
3
170806.354825
23240968292, 206294393949, 60197935487
4
59625.835701
551107564, 206350458257, 60206324100
5
59611.350470
557446908, 206442685955, 60223101326
