Size= 32,,,
1,,,
0.336034,,,
123267,3705249,,"3,32682095049483"
2,,,
0.323390,,,
122905,3705052,,"3,31722739653856"
3,,,
0.337283,,,
124254,3704910,,"3,35376567851851"
4,,,
0.329907,,,
124405,3705105,,"3,35766462758815"
5,,,
0.340914,,,
123903,3705153,,"3,34407243101702"
Size= 128,,,
1,,,
19.742178,,,
125063,3845489,,"3,25220017532231"
2,,,
19.538189,,,
124502,3840192,,"3,24207747945936"
3,,,
19.873076,,,
129006,3994872,,"3,22928994971554"
4,,,
19.346743,,,
125190,3841227,,"3,25911486095459"
5,,,
19.730027,,,
126864,3844456,,"3,29992071700131"
Size= 1024,,,
1,,,
12481.487732,,,
68430144,1416862649,,"4,82969496360829"
2,,,
9900.019626,,,
5044488,71634316,,"7,04199925633407"
3,,,
15669.557497,,,
169859923,2703132734,,"6,28381732289732"
4,,,
9788.259402,,,
5141274,72203763,,"7,12050700183036"
5,,,
7560.522824,,,
4522871,73341085,,"6,16689949432845"
Size= 2048,,,
1,,,
82382.113512,,,
947735220,12390708557,,"7,64875725742566"
2,,,
75493.574675,,,
40540619,548079949,,"7,39684403232931"
3,,,
171768.694645,,,
19118419048,23234156627,,"82,2858318247835"
4,,,
60962.576788,,,
35217618,551245828,,"6,38873188896044"
5,,,
79453.928991,,,
43304441,558248614,,"7,75719633045072"
